"Roppongi Hills Mori Tower, Tokyo, Japan",http://t1.gstatic.com/images?q=tbn:ANd9GcQ3qRydBnxpWG4sMIcD1Hf0DXYY9UrjG-4XeXVT_mlBDc5IyASh
"Opera City Tower, Tokyo",http://t3.gstatic.com/images?q=tbn:ANd9GcSjBYJDjJu-wRtb6ROow8TMMR-F8RXAmazRkyBNM9O9AIZqaxIjRQ
"Busan Lotte World II        Busan S. Korea        (proposed)",http://t0.gstatic.com/images?q=tbn:ANd9GcTqwBwxXeyaUL0PY02v70waBZh6lYC6UcrE39rEvSQpWrCq9tEmPQ
"Mok-dong Hyperion Tower A, Seoul",http://t0.gstatic.com/images?q=tbn:ANd9GcR21LkwGD9u5IgENkzugw0mQQjy1fPrPtSqJEpxbAv92Uw3qsMm
"Tower Palace Three, Tower G, Seoul",http://t3.gstatic.com/images?q=tbn:ANd9GcQKDl8ESqllKjX0w0dNIIHiIDzutpAkde0DkZMYBTqMuPf5O5ws
"Korea World Trade Center, Seoul",http://t0.gstatic.com/images?q=tbn:ANd9GcT0axnLJKYfr8M9lS5USrYLjFBVh79iYIlfe4ufgbFtaR9-YztP
"Korea Life Insurance Company, Seoul",http://t0.gstatic.com/images?q=tbn:ANd9GcRQpnusQiic_SDAPdx7XnG0WtWzLRZLRG2c0EiG-0yKrk46d8e4eA
"Al Hamra Firdous Tower, Kuwait City, Kuwait",http://t3.gstatic.com/images?q=tbn:ANd9GcSr7FYdEENhmVVUuNXROT11rOQbQC_cdXAKJqHOd46QquWR3QUy2A
"Kompleks Tun Abdul Razak      Building, Penang, Malaysia",http://t3.gstatic.com/images?q=tbn:ANd9GcR0D7zYPhXSumWgDQDs1Lm3-2c0CStPMACSsPORfVQSZvOwY8izjA
"Malayan Bank, Kuala Lumpur, Malaysia",http://t0.gstatic.com/images?q=tbn:ANd9GcR7ClP4B9Js2n0LzlNnV5FjrRDnwsssNRu57DfuhR3ThxGCd4oWgQ
"Menara Telekom Headquarters, Kuala Lumpur",http://t2.gstatic.com/images?q=tbn:ANd9GcSlG3PbMmf45oNtp-xP0pFCrQNAnHrBZIT2z_IrNjQEqfApFzQn8g
"Petronas Towers 1 & 2, Kuala Lumpur, Malaysia",http://t1.gstatic.com/images?q=tbn:ANd9GcQ37nohnimYc4Z5guWq2Pe7vDCQJ2WepKjZWzxBOKt5ppqK4GGtsg
"Vista Tower (formerly Empire Tower), Kuala Lumpur, Malaysia",http://t1.gstatic.com/images?q=tbn:ANd9GcTBEQ9wAlNUcOOFbaD29439htoTKx5oxhx-Qq3hyXDE6qZZ7CmN
"Philippine Bank of Communications, Makati",http://t3.gstatic.com/images?q=tbn:ANd9GcRSj6c_SPgBHS-wUUNAReztDrtuSqUNMKX4_xADPVT-w38X07y_
"Palace of Culture and Science, Warsaw",http://t0.gstatic.com/images?q=tbn:ANd9GcRmAvmllhYktxwqCVHUIm8m-KKCso-L3Pzoo9DN_llknvkMvDEj
"Makkah Royal Clock Tower Hotel,        Mecca, Saudi Arabia",http://t1.gstatic.com/images?q=tbn:ANd9GcQ2TLon4RxcU-nHJZ13dLeDtOSeBx0IcafJkbG7x6v48EkjSVQNog
"Kingdom Centre, Riyadh",http://t1.gstatic.com/images?q=tbn:ANd9GcQcSpO1c8glZR3VJbSe5KJ29DBAmdUISuP_c5FzNY1QZ-MY153M
"Treasury Building, Singapore",http://t2.gstatic.com/images?q=tbn:ANd9GcQdzu20EnQafGdTeJKzDxhbObCmRLHZHmp_3EO4fWBui_hg6mf0VQ
"Capital Tower, Singapore",http://t0.gstatic.com/images?q=tbn:ANd9GcRTqoccqMYBjqTOGlzj2NEmLIsAKZnCe9BP3CyzXBwtAxZTOjKU
